Location,Shot_Number,Period,Game_Clock,Shot_Clock,Dribbles,Touch_Time,Shot_Dist,Pts_Type,Shot_Result,Player_Name
A,1,1,7:28:00 AM,2.6,5,4.5,21.1,2,made,kobe bryant
A,2,1,5:53:00 AM,5.1,7,12.1,19.6,2,missed,kobe bryant
A,3,1,3:16:00 AM,11.9,3,5.2,24.8,3,missed,kobe bryant
A,4,2,4:56:00 AM,5.9,3,9.6,12.2,2,made,kobe bryant
A,5,2,2:49:00 AM,15,0,6.7,26.4,3,missed,kobe bryant
A,6,3,9:54:00 AM,10.5,13,11.5,14.5,2,missed,kobe bryant
A,7,3,9:26:00 AM,21.5,2,2.5,24.5,3,missed,kobe bryant
A,8,3,7:15:00 AM,17.2,0,0.8,18.2,2,made,kobe bryant
A,9,3,5:39:00 AM,21.4,0,1.8,24.5,3,made,kobe bryant
A,10,3,5:08:00 AM,12.4,0,3.6,20.2,2,missed,kobe bryant
A,11,3,4:16:00 AM,7.3,3,8.2,3.1,2,made,kobe bryant
A,12,3,3:52:00 AM,19.7,3,3,24.5,3,missed,kobe bryant
A,13,4,4:44:00 AM,7,2,5.2,12.6,2,made,kobe bryant
A,14,4,4:04:00 AM,14.9,11,9.7,9.9,2,missed,kobe bryant
H,1,1,11:30:00 AM,11.2,0,1.4,26.8,3,missed,kobe bryant
H,2,1,9:32:00 AM,9.5,1,2.2,21.5,2,made,kobe bryant
H,3,1,3:06:00 AM,17.8,6,5.5,24.3,2,made,kobe bryant
H,4,1,1:17:00 AM,12.3,9,8.6,24.9,3,made,kobe bryant
H,5,2,2:35:00 AM,16,1,3.8,4.8,2,missed,kobe bryant
H,6,2,2:23:00 AM,20.2,0,0.7,2.7,2,made,kobe bryant
H,7,2,1:55:00 AM,12,4,5,10.7,2,missed,kobe bryant
H,8,2,12:26:00 AM,14.2,13,9.9,24.5,3,made,kobe bryant
H,9,3,11:38:00 AM,2.2,0,1.6,25.8,3,missed,kobe bryant
H,10,3,8:43:00 AM,13,12,10.5,14.2,2,missed,kobe bryant
H,11,3,2:44:00 AM,7.3,9,12.9,15.8,2,missed,kobe bryant
H,12,4,3:51:00 AM,13.5,12,9.7,3.4,2,made,kobe bryant
H,13,4,1:55:00 AM,7.7,5,5.7,25.8,3,made,kobe bryant
H,14,4,12:21:00 AM,,0,0.3,22.5,3,missed,kobe bryant
H,1,1,11:23:00 AM,5.2,0,1.2,22.1,2,missed,kobe bryant
H,2,1,8:03:00 AM,18.7,0,1,20.4,2,missed,kobe bryant
H,3,1,4:25:00 AM,13.3,10,11.4,18.8,2,made,kobe bryant
H,4,1,3:52:00 AM,16.5,7,7.6,24.4,3,missed,kobe bryant
H,5,1,2:58:00 AM,6,0,3.7,24.8,3,missed,kobe bryant
H,6,2,4:45:00 AM,16.5,8,7,16.2,2,missed,kobe bryant
H,7,2,2:34:00 AM,18.5,7,5.8,25.2,3,missed,kobe bryant
H,8,2,1:55:00 AM,7.2,12,15.5,11.8,2,missed,kobe bryant
H,9,2,12:01:00 AM,,3,3.2,19.3,2,missed,kobe bryant
H,10,3,6:37:00 AM,19.8,1,2.3,25.5,3,missed,kobe bryant
H,11,4,4:54:00 AM,7.9,13,9.4,19,2,missed,kobe bryant
H,12,4,3:17:00 AM,18,8,6.3,19.3,2,missed,kobe bryant
H,13,4,2:48:00 AM,17.6,4,5.8,25.3,3,made,kobe bryant
H,14,4,2:11:00 AM,15,9,8.2,25.5,3,missed,kobe bryant
H,15,4,1:31:00 AM,10.9,16,12.9,4.7,2,missed,kobe bryant
H,16,4,1:01:00 AM,10,13,12.6,13.9,2,missed,kobe bryant
H,17,4,12:55:00 AM,22.4,0,0.9,26.4,3,missed,kobe bryant
H,18,4,12:33:00 AM,23.3,0,0.8,24.1,3,made,kobe bryant
H,19,4,12:04:00 AM,,4,5.1,27.5,3,missed,kobe bryant
A,1,1,11:12:00 AM,15,0,0.7,25.4,3,missed,kobe bryant
A,2,2,5:20:00 AM,11.1,11,12.7,23.7,2,missed,kobe bryant
A,3,2,3:14:00 AM,10.7,0,0,3.4,2,missed,kobe bryant
A,4,2,2:44:00 AM,12.7,3,6.7,3.4,2,missed,kobe bryant
A,5,3,10:16:00 AM,15.3,0,0.7,21.9,2,missed,kobe bryant
A,6,3,9:04:00 AM,19,1,1.7,25.6,3,missed,kobe bryant
A,7,3,8:40:00 AM,7.6,4,5,13.4,2,missed,kobe bryant
A,8,3,6:43:00 AM,11.1,13,14,17.5,2,missed,kobe bryant
A,9,3,5:51:00 AM,15.9,9,7.9,10.8,2,made,kobe bryant
A,10,3,5:04:00 AM,4.2,1,2.3,27.3,3,missed,kobe bryant
A,11,3,3:50:00 AM,11.5,3,5.2,14.7,2,made,kobe bryant
A,12,3,3:18:00 AM,15.7,1,3.2,17.5,2,missed,kobe bryant
H,1,1,10:04:00 AM,18.7,6,5.4,24.3,2,made,kobe bryant
H,2,1,9:06:00 AM,17.9,6,6.4,25.1,3,made,kobe bryant
H,3,1,8:03:00 AM,2.7,5,6,7.6,2,made,kobe bryant
H,4,1,5:41:00 AM,15.9,7,7.6,14.5,2,missed,kobe bryant
H,5,1,3:38:00 AM,12.4,0,0.8,2.3,2,made,kobe bryant
H,6,1,2:57:00 AM,5.3,2,4.7,21.7,2,missed,kobe bryant
H,7,2,12:52:00 AM,16,0,1.3,22.9,3,missed,kobe bryant
H,8,3,11:44:00 AM,7.2,7,8.2,9,2,missed,kobe bryant
H,9,3,10:19:00 AM,6,5,7.4,11.2,2,made,kobe bryant
H,10,3,4:43:00 AM,13.6,3,2.8,18.8,2,missed,kobe bryant
H,11,4,3:32:00 AM,3.5,3,5.3,17,2,missed,kobe bryant
H,12,4,2:02:00 AM,8,16,15.8,23.1,3,made,kobe bryant
H,13,4,12:53:00 AM,15.6,11,8,7.4,2,missed,kobe bryant
H,14,4,12:13:00 AM,11.1,11,9.4,7.9,2,made,kobe bryant
H,1,1,8:02:00 AM,,0,1.4,20.6,2,missed,kobe bryant
H,2,2,4:37:00 AM,,0,3.5,20.1,2,made,kobe bryant
H,3,2,2:33:00 AM,,5,5,22.3,2,missed,kobe bryant
H,4,2,2:03:00 AM,,8,10.8,3.1,2,made,kobe bryant
H,5,3,10:38:00 AM,4,3,3.3,19,2,missed,kobe bryant
H,6,3,10:11:00 AM,14.1,0,0.8,24.4,3,made,kobe bryant
H,7,3,9:43:00 AM,12.5,2,3.4,22.8,2,made,kobe bryant
H,8,3,8:37:00 AM,13.4,0,1.1,25.4,3,missed,kobe bryant
H,9,3,6:27:00 AM,10.4,10,14,19.3,2,missed,kobe bryant
H,10,3,3:33:00 AM,9.9,0,1.1,2.6,2,missed,kobe bryant
H,11,3,2:36:00 AM,4.1,4,8.2,3.9,2,made,kobe bryant
H,12,4,1:49:00 AM,4.3,11,11.4,15.9,2,missed,kobe bryant
H,13,4,12:26:00 AM,8,3,6.5,25.7,3,made,kobe bryant
H,14,4,12:00:00 AM,,0,0.5,27.2,3,missed,kobe bryant
A,1,1,6:27:00 AM,14.7,9,7.6,14.4,2,made,kobe bryant
A,2,1,6:03:00 AM,19.5,4,5.2,25.7,3,made,kobe bryant
A,3,1,5:08:00 AM,5,3,3.7,24.2,3,made,kobe bryant
A,4,2,4:15:00 AM,14.1,13,10.8,13.7,2,made,kobe bryant
A,5,2,3:26:00 AM,13.9,10,10.7,15.5,2,missed,kobe bryant
A,6,3,11:43:00 AM,9,3,5,12,2,made,kobe bryant
A,7,3,6:15:00 AM,19.5,8,6.3,25,3,missed,kobe bryant
A,8,3,3:33:00 AM,5,19,17.5,16.3,2,missed,kobe bryant
A,9,3,1:39:00 AM,0.1,12,12.4,22.1,2,missed,kobe bryant
A,10,4,6:38:00 AM,4.3,2,5.2,25.1,3,made,kobe bryant
A,11,4,2:17:00 AM,5,0,1.1,29.3,3,missed,kobe bryant
H,1,1,2:30:00 AM,14,3,5.1,13.9,2,made,kobe bryant
H,2,2,4:01:00 AM,13,4,4,25.5,3,missed,kobe bryant
H,3,2,3:43:00 AM,14.1,2,2.4,8,2,missed,kobe bryant
H,4,2,12:28:00 AM,5.8,6,7.5,14.5,2,missed,kobe bryant
H,5,3,11:46:00 AM,9.7,2,4.3,16.8,2,made,kobe bryant
H,6,3,9:33:00 AM,5.6,4,10.2,12.8,2,missed,kobe bryant
H,7,3,8:35:00 AM,4.4,5,5.3,12.9,2,missed,kobe bryant
H,8,3,3:42:00 AM,19.7,4,4.5,24.1,3,made,kobe bryant
H,9,3,2:58:00 AM,14.8,2,4.6,17.8,2,made,kobe bryant
H,10,4,4:44:00 AM,11.5,0,0.8,24.5,3,missed,kobe bryant
A,1,1,11:45:00 AM,10.6,0,3.8,17.3,2,missed,kobe bryant
A,2,1,9:29:00 AM,7,1,4.6,18.2,2,missed,kobe bryant
A,3,1,5:26:00 AM,14.2,0,0.8,19.2,2,missed,kobe bryant
A,4,1,5:03:00 AM,11.6,2,3.8,5.2,2,made,kobe bryant
A,5,1,3:48:00 AM,12.3,0,1.2,22.7,2,missed,kobe bryant
A,6,1,1:21:00 AM,9.3,0,3.9,24.8,3,made,kobe bryant
A,7,1,12:53:00 AM,15,7,6.4,10.9,2,missed,kobe bryant
A,8,2,5:59:00 AM,8.8,2,4,10.8,2,missed,kobe bryant
A,9,2,5:07:00 AM,14.3,2,2,21,2,missed,kobe bryant
A,10,2,4:56:00 AM,16,1,1.8,5.3,2,missed,kobe bryant
A,11,2,2:59:00 AM,16.5,8,6.8,14.7,2,missed,kobe bryant
A,12,2,2:06:00 AM,8.5,0,1.4,18.6,2,missed,kobe bryant
A,13,2,12:53:00 AM,5.4,1,2,23.4,3,made,kobe bryant
A,14,3,9:44:00 AM,1.5,2,3.4,32.3,3,made,kobe bryant
A,15,3,8:23:00 AM,9.2,7,7.7,23.3,3,missed,kobe bryant
A,16,3,7:24:00 AM,12.5,3,4.1,14.5,2,made,kobe bryant
A,17,3,6:26:00 AM,9,4,4.7,7.7,2,made,kobe bryant
A,18,3,6:12:00 AM,22.7,2,3.9,2.6,2,made,kobe bryant
A,19,3,5:36:00 AM,3.6,1,2.9,18.5,2,missed,kobe bryant
A,20,3,4:34:00 AM,5.4,6,6.6,25.1,3,missed,kobe bryant
A,21,3,3:03:00 AM,3,8,13.8,20.6,2,missed,kobe bryant
A,22,3,2:47:00 AM,12.7,2,3.9,18.6,2,missed,kobe bryant
A,23,3,12:05:00 AM,,8,7.4,6.5,2,missed,kobe bryant
A,24,4,5:59:00 AM,5.2,0,1,25.2,3,missed,kobe bryant
A,25,4,5:25:00 AM,13.7,2,2.2,23.7,2,missed,kobe bryant
A,26,4,4:09:00 AM,12.3,15,13,19.8,2,missed,kobe bryant
A,27,4,3:46:00 AM,12,5,9.8,7.8,2,made,kobe bryant
A,28,4,3:05:00 AM,9.1,6,8.5,22.9,2,missed,kobe bryant
A,29,4,2:04:00 AM,21.2,3,3.8,25.1,3,missed,kobe bryant
A,30,4,12:12:00 AM,,0,0.9,23.2,3,missed,kobe bryant
H,1,1,10:14:00 AM,12.8,0,0.5,3.3,2,missed,kobe bryant
H,2,1,2:52:00 AM,0.9,1,2.1,38.6,3,missed,kobe bryant
H,3,2,6:12:00 AM,11.9,0,1.5,25.1,3,missed,kobe bryant
H,4,2,1:56:00 AM,7.6,3,4.6,13.2,2,made,kobe bryant
H,5,2,1:20:00 AM,6.2,1,4.8,13.5,2,missed,kobe bryant
H,6,2,12:52:00 AM,10.2,0,1,23.8,2,missed,kobe bryant
H,7,3,8:03:00 AM,13.8,0,0.9,15.4,2,missed,kobe bryant
H,8,3,6:21:00 AM,3.7,5,6.9,9.1,2,made,kobe bryant
H,9,3,5:50:00 AM,5.5,3,4.8,14.7,2,missed,kobe bryant
H,10,3,5:32:00 AM,17.7,0,1,24.4,3,missed,kobe bryant
H,11,4,5:39:00 AM,6.3,8,8.4,15.8,2,missed,kobe bryant
H,12,4,2:38:00 AM,2.2,2,4.8,17,2,made,kobe bryant
H,13,4,1:26:00 AM,3,3,3.7,15.5,2,missed,kobe bryant
H,14,4,12:57:00 AM,15.4,0,0.7,19.3,2,missed,kobe bryant
H,15,4,12:03:00 AM,,3,3.8,18.5,2,missed,kobe bryant
A,1,1,11:09:00 AM,8.6,0,2.9,21.1,2,missed,kobe bryant
A,2,1,10:07:00 AM,8.4,1,1.9,17.4,2,made,kobe bryant
A,3,1,9:22:00 AM,13.8,1,1.8,21,2,missed,kobe bryant
A,4,1,7:56:00 AM,8.6,3,6.2,15.2,2,missed,kobe bryant
A,5,1,5:32:00 AM,12.7,0,0.8,24.7,3,missed,kobe bryant
A,6,1,2:30:00 AM,17.9,6,5.8,5.8,2,missed,kobe bryant
A,7,1,2:05:00 AM,11.2,3,2.7,7.7,2,missed,kobe bryant
A,8,2,5:40:00 AM,18.1,6,6.1,25.2,3,missed,kobe bryant
A,9,2,5:15:00 AM,5.4,1,4.2,16.9,2,missed,kobe bryant
A,10,2,4:54:00 AM,19,5,5.8,4.2,2,missed,kobe bryant
A,11,2,4:53:00 AM,17.6,0,0.1,17.4,2,made,kobe bryant
A,12,2,2:16:00 AM,4.4,1,5.4,18,2,missed,kobe bryant
A,13,2,12:32:00 AM,19,1,4.6,23.1,3,made,kobe bryant
A,14,3,11:31:00 AM,17.3,1,1,22.8,2,missed,kobe bryant
A,15,3,9:53:00 AM,20.3,0,0.9,26.7,3,made,kobe bryant
A,16,3,9:31:00 AM,19.1,5,4.6,25.8,3,missed,kobe bryant
A,17,3,9:11:00 AM,18.2,2,1.9,6.2,2,missed,kobe bryant
A,18,3,9:03:00 AM,9.6,1,7.3,1,2,made,kobe bryant
A,19,3,5:23:00 AM,14.7,1,1.8,25.4,3,missed,kobe bryant
A,20,3,4:58:00 AM,13.7,5,4.5,3.1,2,missed,kobe bryant
A,21,3,4:43:00 AM,20.3,2,3,4.6,2,made,kobe bryant
A,22,3,4:31:00 AM,21.6,3,3.8,4,2,made,kobe bryant
A,23,3,3:57:00 AM,18.3,0,0.9,24.6,3,missed,kobe bryant
A,24,3,1:37:00 AM,17.5,5,4.4,4.7,2,made,kobe bryant
A,25,3,12:49:00 AM,16,0,0.8,24.6,3,missed,kobe bryant
A,26,3,12:41:00 AM,18.7,10,5.3,16.4,2,missed,kobe bryant
A,1,1,11:11:00 AM,7,1,3.8,23,2,missed,kobe bryant
A,2,1,8:45:00 AM,11,0,1.2,24.6,3,missed,kobe bryant
A,3,1,7:22:00 AM,10,10,8.2,13.5,2,missed,kobe bryant
A,4,1,3:25:00 AM,11.7,1,1.3,8,2,made,kobe bryant
A,5,1,2:35:00 AM,18.3,9,6.3,5.5,2,missed,kobe bryant
A,6,2,6:16:00 AM,20,0,1.4,25.4,3,made,kobe bryant
A,7,2,5:42:00 AM,13.7,1,3.4,14.8,2,missed,kobe bryant
A,8,2,4:26:00 AM,12.1,0,0.7,24.1,2,made,kobe bryant
A,9,2,3:31:00 AM,19.1,4,6,24.7,3,missed,kobe bryant
A,10,2,2:20:00 AM,10.7,0,0.9,25.3,3,missed,kobe bryant
A,11,3,7:16:00 AM,10.9,8,6.6,18.5,2,missed,kobe bryant
A,12,3,12:33:00 AM,14.7,11,9.2,25.8,3,missed,kobe bryant
A,13,4,5:13:00 AM,14.1,0,0.8,24,2,made,kobe bryant
A,14,4,4:26:00 AM,3.1,6,8.2,25.2,3,missed,kobe bryant
A,15,4,4:02:00 AM,9.3,14,13,11.5,2,made,kobe bryant
A,16,4,3:35:00 AM,11.6,0,1.2,20.6,2,missed,kobe bryant
A,17,4,2:54:00 AM,12,13,10.8,19.1,2,missed,kobe bryant
A,18,4,2:21:00 AM,10.7,15,13.8,9.1,2,made,kobe bryant
A,19,4,1:04:00 AM,6.1,2,2.1,27.5,3,made,kobe bryant
A,20,4,12:31:00 AM,2.8,20,18.5,20.8,2,missed,kobe bryant
A,1,1,10:40:00 AM,,0,1,22.5,2,missed,kobe bryant
A,2,1,8:08:00 AM,,2,3,20.9,2,made,kobe bryant
A,3,1,6:52:00 AM,,2,1.8,20.3,2,missed,kobe bryant
A,4,1,6:43:00 AM,,0,0,1.6,2,missed,kobe bryant
A,5,1,2:26:00 AM,,1,1.6,3.8,2,made,kobe bryant
A,6,1,12:41:00 AM,,0,0.9,25,3,missed,kobe bryant
A,7,2,3:56:00 AM,,0,1.5,18.1,2,missed,kobe bryant
A,8,2,2:37:00 AM,,4,3.7,16.4,2,missed,kobe bryant
A,9,2,2:07:00 AM,,1,2.1,3.6,2,made,kobe bryant
A,10,3,10:32:00 AM,,1,1.4,15.6,2,made,kobe bryant
A,11,3,9:12:00 AM,,1,1.2,16.9,2,made,kobe bryant
A,12,3,7:31:00 AM,,1,1.2,25.2,3,missed,kobe bryant
A,13,3,6:29:00 AM,,8,5.4,19.1,2,missed,kobe bryant
A,14,3,4:35:00 AM,,11,14.2,17,2,missed,kobe bryant
A,15,3,2:07:00 AM,,0,4.6,18.6,2,made,kobe bryant
A,16,4,3:23:00 AM,,3,5.7,15,2,missed,kobe bryant
A,17,4,2:00:00 AM,,0,1.1,28.8,3,made,kobe bryant
A,18,4,12:27:00 AM,,8,10.7,17.1,2,missed,kobe bryant
A,19,4,12:05:00 AM,,2,1.5,18.4,2,missed,kobe bryant
A,20,5,3:49:00 AM,,2,5.5,25.1,3,missed,kobe bryant
A,21,5,1:14:00 AM,,28,19.6,11.7,2,missed,kobe bryant
A,22,5,12:46:00 AM,,4,4.8,3.8,2,missed,kobe bryant
H,1,1,10:40:00 AM,14.1,0,3.1,23.6,2,missed,kobe bryant
H,2,1,9:42:00 AM,12.7,0,1,22.4,2,made,kobe bryant
H,3,1,9:08:00 AM,7.5,0,1,24.4,3,missed,kobe bryant
H,4,1,6:12:00 AM,8.1,1,2.8,15.2,2,made,kobe bryant
H,5,1,5:25:00 AM,6,2,4.3,10.2,2,missed,kobe bryant
H,6,1,5:22:00 AM,22.6,1,1.7,8.4,2,missed,kobe bryant
H,7,1,5:19:00 AM,24,0,0,1.2,2,missed,kobe bryant
H,8,1,5:01:00 AM,16.8,0,0.8,17.2,2,missed,kobe bryant
H,9,1,2:52:00 AM,18.7,1,1.9,4.9,2,made,kobe bryant
H,10,1,2:34:00 AM,16.3,0,2.7,24.4,3,missed,kobe bryant
H,11,2,4:37:00 AM,8,4,4.7,17.2,2,missed,kobe bryant
H,12,2,3:01:00 AM,16.3,1,6,16.2,2,missed,kobe bryant
H,13,2,12:36:00 AM,24,1,1.6,2.7,2,made,kobe bryant
H,14,3,11:49:00 AM,12.3,4,3,16.1,2,made,kobe bryant
H,15,3,10:24:00 AM,10.6,7,6.5,10.1,2,missed,kobe bryant
H,16,3,9:55:00 AM,4.4,0,1.2,29.7,3,missed,kobe bryant
H,17,3,7:42:00 AM,13.3,0,1.7,22.6,2,made,kobe bryant
H,18,3,7:10:00 AM,15.6,1,1.7,19.1,2,made,kobe bryant
H,19,3,5:58:00 AM,13.5,1,1.9,21.2,2,made,kobe bryant
H,20,3,5:34:00 AM,18.3,4,4.6,25.7,3,made,kobe bryant
H,21,3,5:03:00 AM,11,0,0.4,23.3,2,missed,kobe bryant
H,22,3,4:39:00 AM,7.2,1,1.6,17.7,2,missed,kobe bryant
H,23,4,6:33:00 AM,11.7,0,1.1,20.3,2,missed,kobe bryant
H,24,4,3:35:00 AM,15.8,0,3.6,25,3,missed,kobe bryant
H,25,4,3:15:00 AM,20.1,1,1.2,4.7,2,made,kobe bryant
H,26,4,2:21:00 AM,21,0,1.1,25.1,3,made,kobe bryant
H,27,4,12:55:00 AM,6.4,16,12.8,17.7,2,missed,kobe bryant
H,1,1,11:34:00 AM,,4,5.5,22.3,2,made,kobe bryant
H,2,1,11:05:00 AM,,0,1.2,24.5,3,missed,kobe bryant
H,3,1,9:43:00 AM,,1,2.3,24.5,3,missed,kobe bryant
H,4,1,7:55:00 AM,,7,6.2,10.2,2,missed,kobe bryant
H,5,1,5:35:00 AM,,1,2.2,19.2,2,made,kobe bryant
H,6,1,4:28:00 AM,,0,3.9,17.5,2,missed,kobe bryant
H,7,1,3:33:00 AM,,2,2.2,4.4,2,missed,kobe bryant
H,8,1,1:32:00 AM,,1,3.6,23.9,3,missed,kobe bryant
H,9,2,4:15:00 AM,,2,6.3,5.1,2,made,kobe bryant
H,10,2,12:41:00 AM,,3,6.4,13.7,2,missed,kobe bryant
H,11,3,10:27:00 AM,18.2,5,5,3.5,2,made,kobe bryant
H,12,3,9:21:00 AM,13.2,0,0.8,22.7,3,missed,kobe bryant
H,13,3,8:27:00 AM,7,2,5,20.7,2,made,kobe bryant
H,14,3,6:36:00 AM,16.4,2,3.4,9.2,2,made,kobe bryant
H,15,3,6:09:00 AM,11.1,0,1.1,21.1,2,missed,kobe bryant
H,16,3,3:27:00 AM,12.9,1,5.2,16.8,2,missed,kobe bryant
H,17,3,2:42:00 AM,5.6,4,5.7,9,2,missed,kobe bryant
H,18,4,3:45:00 AM,12.6,2,2.2,25,3,missed,kobe bryant
A,1,1,9:51:00 AM,15.4,1,2.1,14.7,2,missed,kobe bryant
A,2,1,8:42:00 AM,2.7,4,3.4,15.5,2,missed,kobe bryant
A,3,1,7:38:00 AM,1.3,17,15.2,9.8,2,made,kobe bryant
A,4,1,6:49:00 AM,13.7,0,1.5,20.4,2,missed,kobe bryant
A,5,1,5:25:00 AM,4.7,4,3.5,19.4,2,missed,kobe bryant
A,6,1,3:45:00 AM,18.2,5,5.9,15.8,2,made,kobe bryant
A,7,1,2:31:00 AM,11.3,1,1.1,26.9,3,made,kobe bryant
A,8,2,5:32:00 AM,16.5,2,2.5,22.5,2,made,kobe bryant
A,9,2,4:59:00 AM,10,2,3.5,15.4,2,missed,kobe bryant
A,10,2,12:33:00 AM,13.5,1,1.3,25.4,3,missed,kobe bryant
A,11,3,10:24:00 AM,4.6,6,2.9,20.4,2,missed,kobe bryant
A,12,3,8:47:00 AM,13.9,10,9.6,18.1,2,made,kobe bryant
A,13,3,7:13:00 AM,8,1,4,16.5,2,missed,kobe bryant
A,14,3,6:13:00 AM,15,8,9.4,7.7,2,missed,kobe bryant
A,15,3,4:02:00 AM,10.4,4,4.5,1.3,2,made,kobe bryant
A,16,3,3:36:00 AM,15.9,0,0.9,25.8,3,missed,kobe bryant
A,17,3,3:15:00 AM,14.7,2,2.2,11.1,2,made,kobe bryant
A,18,3,2:31:00 AM,9,5,5.1,0.6,2,made,kobe bryant
A,19,4,5:27:00 AM,6.4,3,6,10.4,2,missed,kobe bryant
A,20,4,4:46:00 AM,2.5,10,9,14.3,2,missed,kobe bryant
A,21,4,2:54:00 AM,23.2,1,1.7,9.8,2,made,kobe bryant
A,1,1,10:21:00 AM,6,1,1,18.1,2,made,kobe bryant
A,2,1,9:55:00 AM,11,1,4.9,12.1,2,made,kobe bryant
A,3,1,9:29:00 AM,13,0,1.1,19.8,2,missed,kobe bryant
A,4,1,5:16:00 AM,12,0,4.9,20.7,2,missed,kobe bryant
A,5,1,4:57:00 AM,20.5,0,1,1,2,missed,kobe bryant
A,6,1,4:09:00 AM,18.9,2,4.7,14.9,2,made,kobe bryant
A,7,1,3:09:00 AM,9.5,1,3.1,14,2,missed,kobe bryant
A,8,1,2:11:00 AM,6.1,4,11.5,9.8,2,made,kobe bryant
A,9,1,1:45:00 AM,9.2,10,10.1,24.3,3,made,kobe bryant
A,10,1,1:18:00 AM,15.3,8,7.2,26.3,3,made,kobe bryant
A,11,1,12:51:00 AM,15.1,8,7,25.4,3,missed,kobe bryant
A,12,2,5:14:00 AM,11.1,0,0.8,25,3,missed,kobe bryant
A,13,2,2:41:00 AM,10,2,2.9,15.7,2,made,kobe bryant
A,14,2,1:58:00 AM,13.4,11,8.9,15.4,2,made,kobe bryant
A,15,2,1:27:00 AM,5,3,4.7,15.8,2,missed,kobe bryant
A,16,3,10:39:00 AM,16,8,8,24.8,3,missed,kobe bryant
A,17,3,9:06:00 AM,8.6,6,6.8,14.4,2,missed,kobe bryant
A,18,3,4:03:00 AM,12.5,10,12,4.8,2,missed,kobe bryant
A,19,3,3:13:00 AM,9.4,0,1.7,22.3,2,missed,kobe bryant
A,20,4,4:15:00 AM,12.7,4,5.7,16.7,2,missed,kobe bryant
A,21,4,1:26:00 AM,4.3,5,7,25.8,3,missed,kobe bryant
A,22,4,1:00:00 AM,18.5,3,4.6,12.9,2,missed,kobe bryant
A,1,1,11:27:00 AM,7.1,0,2.8,21.6,2,missed,kobe bryant
A,2,1,4:51:00 AM,8.6,1,1.9,4.1,2,missed,kobe bryant
A,3,1,2:32:00 AM,18.9,5,5.5,7.4,2,missed,kobe bryant
A,4,2,6:08:00 AM,10.4,0,7.4,21,2,missed,kobe bryant
A,5,2,5:01:00 AM,16.4,0,0.8,23.5,3,missed,kobe bryant
A,6,3,7:28:00 AM,12.6,1,3.3,14.5,2,made,kobe bryant
A,7,3,6:18:00 AM,21.2,1,1.4,2.7,2,made,kobe bryant
A,8,3,5:58:00 AM,20.1,4,5,25.6,3,made,kobe bryant
A,9,3,5:23:00 AM,12.8,1,4.3,16.4,2,made,kobe bryant
A,10,3,3:50:00 AM,18.2,6,5.9,25.1,3,missed,kobe bryant
A,11,3,2:59:00 AM,14.8,8,8.8,0.1,2,missed,kobe bryant
H,1,1,3:40:00 AM,10.9,9,13.5,12.4,2,made,kobe bryant
H,2,1,2:27:00 AM,3.7,2,5.9,15.6,2,made,kobe bryant
H,3,1,1:48:00 AM,8.6,0,5.8,17.1,2,made,kobe bryant
H,4,1,1:01:00 AM,3,9,13,23.2,2,made,kobe bryant
H,5,3,9:39:00 AM,8.6,7,6.3,4.5,2,missed,kobe bryant
H,6,3,7:19:00 AM,11.6,12,12,13.7,2,missed,kobe bryant
H,7,3,5:49:00 AM,13.3,2,7.1,8.1,2,missed,kobe bryant
H,8,3,5:07:00 AM,13.5,1,5,23.6,2,made,kobe bryant
H,9,3,4:45:00 AM,14.9,1,3.8,23.8,2,missed,kobe bryant
H,10,3,2:44:00 AM,8.1,0,1,24.7,3,missed,kobe bryant
H,11,3,1:44:00 AM,6,0,4.8,20.4,2,missed,kobe bryant
H,12,3,1:12:00 AM,14.6,8,8.6,6.5,2,made,kobe bryant
H,13,4,5:32:00 AM,7.3,3,4.4,4.3,2,missed,kobe bryant
H,14,4,5:12:00 AM,17.5,6,6.4,3.3,2,missed,kobe bryant
H,15,4,3:52:00 AM,8.4,2,5.3,10.3,2,made,kobe bryant
H,16,4,3:01:00 AM,3.6,3,9.9,17.5,2,made,kobe bryant
H,17,4,2:20:00 AM,8.4,0,0.8,8.3,2,missed,kobe bryant
H,18,4,1:59:00 AM,17.1,4,4.8,0.7,2,made,kobe bryant
H,19,4,12:59:00 AM,4,9,7.8,19.7,2,missed,kobe bryant
H,20,4,12:02:00 AM,,13,10.7,5.5,2,missed,kobe bryant
H,21,5,4:20:00 AM,17.9,6,4.8,9.6,2,missed,kobe bryant
H,22,5,3:37:00 AM,8.7,1,5.1,12.6,2,missed,kobe bryant
H,23,5,2:25:00 AM,4,4,6.7,15.9,2,made,kobe bryant
H,24,5,1:53:00 AM,10,14,14.5,15.4,2,made,kobe bryant
H,1,1,10:36:00 AM,11.5,0,1,20.3,2,made,kobe bryant
H,2,1,4:12:00 AM,20.8,1,1.6,2.1,2,made,kobe bryant
H,3,1,3:31:00 AM,3.7,2,6.8,15.6,2,made,kobe bryant
H,4,1,1:51:00 AM,4.2,2,5.8,15.4,2,missed,kobe bryant
H,5,1,1:40:00 AM,18.4,0,1.6,19.1,2,made,kobe bryant
H,6,1,1:17:00 AM,19.5,4,4.4,1.6,2,made,kobe bryant
H,7,2,6:14:00 AM,7.2,1,3.6,9.9,2,missed,kobe bryant
H,8,2,4:17:00 AM,10.9,2,6.6,5,2,missed,kobe bryant
